City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,tecoanapa,16.52,-98.75,84.25,62,0,13.2,MX,1590447835
349,cidreira,-30.18,-50.21,60.35,67,53,21.32,BR,1590447806
350,preveza,38.95,20.75,60.8,82,20,6.42,GR,1590447835
351,the valley,18.22,-63.06,82.99,76,90,8.99,AI,1590447563
352,ancud,-41.87,-73.82,54.0,81,88,11.41,CL,1590447835
353,caloundra,-26.8,153.13,66.99,54,0,3.0,AU,1590447835
354,cotonou,6.37,2.42,77.0,88,40,4.03,BJ,1590447836
355,port hedland,-20.32,118.57,60.8,93,1,9.17,AU,1590447836
356,athens,37.98,23.72,64.0,87,75,8.57,GR,1590447716
357,reshetylivka,49.56,34.08,52.14,92,100,7.9,UA,1590447837
358,bueu,42.32,-8.79,62.6,72,0,6.93,ES,1590447837
359,pala,9.36,14.9,77.92,78,99,5.08,TD,1590447837
360,dracena,-21.48,-51.53,57.02,67,0,5.61,BR,1590447837
361,pacific grove,36.62,-121.92,82.4,47,1,5.82,US,1590447751
362,belyy yar,53.6,91.39,64.4,63,68,6.71,RU,1590447838
363,tual,-5.67,132.75,81.34,80,65,17.27,ID,1590447838
364,diplo,24.47,69.58,78.58,86,1,14.67,PK,1590447838
365,sitka,57.05,-135.33,50.0,76,75,11.41,US,1590447838
366,teahupoo,-17.83,-149.27,82.4,78,75,5.82,PF,1590447838
367,el fuerte,26.42,-108.62,92.16,29,15,17.54,MX,1590447838
368,voh,-20.97,164.7,75.24,52,39,4.36,NC,1590447839
369,rio claro,-22.41,-47.56,57.2,62,0,9.17,BR,1590447697
370,coahuayana,18.73,-103.68,80.6,51,20,11.41,MX,1590447840
371,tzucacab,20.07,-89.05,96.73,42,54,6.46,MX,1590447840
372,payo,-3.75,103.64,73.31,93,100,1.61,ID,1590447840
373,norwich,52.63,1.3,57.2,71,49,8.05,GB,1590447798
374,paramonga,-10.67,-77.83,66.24,82,24,3.91,PE,1590447840
375,inhambane,-23.86,35.38,68.31,78,0,11.54,MZ,1590447840
376,sur,22.57,59.53,85.05,64,0,6.04,OM,1590447840
377,bhanjanagar,19.93,84.58,81.1,80,61,2.64,IN,1590447841
378,visby,57.64,18.3,46.0,100,0,3.36,SE,1590447841
379,ulaanbaatar,47.91,106.88,41.0,65,68,4.12,MN,1590447665
380,cherskiy,68.75,161.3,45.66,52,0,6.31,RU,1590447841
381,lososina,49.0,140.31,49.21,73,100,5.12,RU,1590447841
382,vostok,46.49,135.88,54.55,73,81,1.19,RU,1590447841
383,kizilskoye,52.73,58.89,50.14,70,0,8.1,RU,1590447841
